Laser id,Elevation,Azimuth
1,14.465,3.257
2,13.564,3.263
3,13.109,-1.083
4,12.653,3.268
5,12.192,-1.086
6,11.731,3.273
7,11.266,-1.089
8,10.8,3.278
9,10.33,-1.092
10,9.859,3.283
11,9.384,-1.094
12,8.909,3.288
13,8.43,-1.097
14,7.95,3.291
15,7.466,-1.1
16,6.983,1.1
17,6.496,-1.102
18,6.009,1.1
19,5.516,-3.306
20,5.026,1.102
21,4.53,-3.311
22,4.038,1.103
23,3.538,-3.318
24,3.043,1.105
25,2.541,-3.324
26,2.043,1.106
27,1.914,7.72
28,1.79,5.535
29,1.666,3.325
30,1.54,-3.33
31,1.415,-1.114
32,1.287,-5.538
33,1.159,-7.726
34,1.038,1.108
35,0.909,7.731
36,0.785,5.543
37,0.659,3.329
38,0.534,-3.336
39,0.408,-1.116
40,0.28,-5.547
41,0.153,-7.738
42,0.029,1.108
43,-0.1,7.743
44,-0.225,5.551
45,-0.351,3.335
46,-0.477,-3.342
47,-0.603,-1.119
48,-0.731,-5.555
49,-0.858,-7.75
50,-0.983,1.11
51,-1.112,7.757
52,-1.237,5.56
53,-1.364,3.34
54,-1.49,-3.347
55,-1.617,-1.121
56,-1.744,-5.564
57,-1.872,-7.762
58,-1.998,1.111
59,-2.126,7.768
60,-2.253,5.569
61,-2.38,3.345
62,-2.506,-3.353
63,-2.633,-1.123
64,-2.76,-5.573
65,-2.887,-7.775
66,-3.015,1.113
67,-3.143,7.78
68,-3.27,5.578
69,-3.396,3.351
70,-3.523,-3.358
71,-3.651,-1.125
72,-3.777,-5.582
73,-3.904,-7.787
74,-4.033,1.115
75,-4.161,7.792
76,-4.289,5.586
77,-4.415,3.356
78,-4.542,-3.363
79,-4.669,-1.126
80,-4.795,-5.591
81,-4.922,-7.799
82,-5.052,1.117
83,-5.18,7.804
84,-5.307,5.595
85,-5.434,3.36
86,-5.56,-3.369
87,-5.688,-1.128
88,-5.814,-5.599
89,-5.939,-7.811
90,-6.07,1.119
91,-6.578,-3.374
92,-7.089,1.12
93,-7.595,-3.379
94,-8.106,1.122
95,-8.611,-3.383
96,-9.12,3.381
97,-9.623,-3.388
98,-10.131,3.386
99,-10.635,-1.135
100,-11.141,3.39
101,-11.641,-1.137
102,-12.145,3.395
103,-12.643,-1.138
104,-13.144,3.401
105,-13.639,-1.139
106,-14.137,3.406
107,-14.629,-1.14
108,-15.125,3.41
109,-15.614,-1.141
110,-16.106,3.416
111,-16.591,-1.142
112,-17.079,1.14
113,-17.561,-1.143
114,-18.044,1.143
115,-18.519,-3.426
116,-19.002,1.146
117,-19.472,-3.429
118,-19.952,1.147
119,-20.416,-3.433
120,-20.891,1.15
121,-21.35,-3.436
122,-21.821,1.152
123,-22.275,-3.44
124,-22.741,1.154
125,-23.19,-3.443
126,-23.651,1.157
127,-24.094,-3.446
128,-24.987,-3.449
