2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,4558,5545,0,0,4558,4558,0,0,4558,5545,4558,4558,4558,5545,4558,4558
2,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
3,0,0,3579,4982,0,0,3163,3163,31357,32760,30941,30941,31357,32760,30941,30941
4,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
5,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
6,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
7,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
8,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
9,0,0,5678,5678,0,0,4846,5833,33456,33456,32624,33611,33456,33456,32624,33611
10,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
11,11227,11227,11477,13130,11227,11227,10811,10811,39255,40908,38589,38589,39255,40908,38589,38589
12,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
13,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
14,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
15,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
16,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
17,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
18,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
19,15593,27394,16009,16009,15759,15759,15343,15343,41604,18662,40938,40938,41604,18662,40938,40938
20,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
21,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
22,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
23,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
24,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
25,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
26,11227,11227,11477,27644,11227,11227,10811,10811,39255,46690,38589,38589,39255,46690,38589,38589
27,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
28,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
29,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
30,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
31,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
32,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
33,13410,13410,13826,13826,13410,27394,13160,13160,9044,9044,9044,18662,9044,9044,9044,18662
34,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
35,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
36,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
37,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
38,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
39,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
40,11227,11227,11477,11477,11227,11227,10811,27144,39255,39255,38589,46190,39255,39255,38589,46190
41,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
42,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
43,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
44,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
45,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
46,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
47,11227,11227,11477,11477,11227,11227,10811,12464,39255,39255,38589,40242,39255,39255,38589,40242
48,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
49,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
50,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
51,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
52,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
53,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
54,22142,23795,22558,22558,22308,22308,21892,21892,15593,17246,15759,15759,15593,17246,15759,15759
55,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
56,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
57,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
58,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
59,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
60,24491,24491,24741,24741,24491,24491,24075,25728,43787,43787,43121,44774,43787,43787,43121,44774
61,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
62,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
63,2459,3862,0,0,2875,2875,0,0,2459,3862,2875,2875,2459,3862,2875,2875
64,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
65,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
66,6833,6833,0,0,6417,7404,0,0,6833,6833,6417,7404,6833,6833,6417,7404
67,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
68,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
69,776,776,0,0,776,2179,0,0,776,776,776,2179,776,776,776,2179
70,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
71,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
72,2459,2459,0,0,2875,3862,0,0,2459,2459,2875,3862,2459,2459,2875,3862
73,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
74,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
75,0,0,1304,2707,0,0,1304,1304,29082,30485,29082,29082,29082,30485,29082,29082
76,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
77,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
78,4558,5961,0,0,4558,4558,0,0,4558,5961,4558,4558,4558,5961,4558,4558
79,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
80,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
81,0,0,5678,5678,0,0,4846,6249,33456,33456,32624,34027,33456,33456,32624,34027
82,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
83,0,0,7195,8598,0,0,6945,6945,34973,36376,34723,34723,34973,36376,34723,34723
84,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
85,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
86,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
87,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
88,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
89,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
90,0,0,1304,1304,0,0,1304,2291,29082,29082,29082,30069,29082,29082,29082,30069
