Channel,fire time(us)
70,0.35
68,1.398
76,2.446
78,3.494
84,4.542
86,5.59
92,6.638
94,7.686
97,8.734
103,9.782
105,10.83
111,11.878
113,12.926
119,13.974
121,15.022
127,16.07
4,17.118
6,18.166
12,19.214
14,20.262
20,21.31
22,22.358
28,23.406
30,24.454
69,25.502
67,26.55
75,27.598
77,28.646
83,29.694
85,30.742
91,31.79
93,32.838
98,33.886
104,34.934
106,35.982
112,37.03
114,38.078
120,39.126
122,40.174
128,41.222
3,42.27
5,43.318
11,44.366
13,45.414
19,46.462
21,47.51
27,48.558
29,49.606
72,50.654
66,51.702
74,52.75
80,53.798
82,54.846
88,55.894
90,56.942
96,57.99
99,59.038
101,60.086
107,61.134
109,62.182
115,63.23
117,64.278
123,65.326
125,66.374
2,67.422
8,68.47
10,69.518
16,70.566
18,71.614
24,72.662
26,73.71
32,74.758
71,75.806
65,76.854
73,77.902
79,78.95
81,79.998
87,81.046
89,82.094
95,83.142
100,84.19
102,85.238
108,86.286
110,87.334
116,88.382
118,89.43
124,90.478
126,91.526
1,92.574
7,93.622
9,94.67
15,95.718
17,96.766
23,97.814
25,98.862
31,99.91
33,17.118
39,18.166
41,19.214
47,20.262
49,21.31
55,22.358
57,23.406
63,24.454
34,42.27
40,43.318
42,44.366
48,45.414
50,46.462
56,47.51
58,48.558
64,49.606
35,67.422
37,68.47
43,69.518
45,70.566
51,71.614
53,72.662
59,73.71
61,74.758
36,92.574
38,93.622
44,94.67
46,95.718
52,96.766
54,97.814
60,98.862
62,99.91
