2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,4558,5545,0,0,4558,4558,0,0,4558,5545,4558,4558,4558,5545,4558,4558
2,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
3,776,1763,0,0,776,776,0,0,776,1763,776,776,776,1763,776,776
4,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
5,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
6,0,0,3579,4982,0,0,3163,3163,31357,32760,30941,30941,31357,32760,30941,30941
7,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
8,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
9,0,0,7195,8182,0,0,6945,6945,34973,35960,34723,34723,34973,35960,34723,34723
10,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
11,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
12,6833,6833,0,0,6417,7820,0,0,6833,6833,6417,7820,6833,6833,6417,7820
13,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
14,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
15,0,0,3579,4566,0,0,3163,3163,31357,32344,30941,30941,31357,32344,30941,30941
16,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
17,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
18,6833,7820,0,0,6417,6417,0,0,6833,7820,6417,6417,6833,7820,6417,6417
19,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
20,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
21,2459,3446,0,0,2875,2875,0,0,2459,3446,2875,2875,2459,3446,2875,2875
22,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
23,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
24,0,0,5678,5678,0,0,4846,5833,33456,33456,32624,33611,33456,33456,32624,33611
25,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
26,11227,11227,11477,13130,11227,11227,10811,10811,39255,40908,38589,38589,39255,40908,38589,38589
27,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
28,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
29,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
30,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
31,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
32,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
33,13410,13410,13826,13826,13410,15063,13160,13160,9044,9044,9044,10697,9044,9044,9044,10697
34,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
35,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
36,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
37,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
38,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
39,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
40,15593,27394,16009,16009,15759,15759,15343,15343,41604,18662,40938,40938,41604,18662,40938,40938
41,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
42,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
43,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
44,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
45,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
46,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
47,11227,11227,11477,27644,11227,11227,10811,10811,39255,46690,38589,38589,39255,46690,38589,38589
48,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
49,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
50,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
51,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
52,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
53,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
54,13410,13410,13826,13826,13410,27394,13160,13160,9044,9044,9044,18662,9044,9044,9044,18662
55,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
56,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
57,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
58,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
59,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
60,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
61,11227,11227,11477,11477,11227,11227,10811,27144,39255,39255,38589,46190,39255,39255,38589,46190
62,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
63,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
64,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
65,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
66,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
67,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
68,11227,11227,11477,11477,11227,11227,10811,12464,39255,39255,38589,40242,39255,39255,38589,40242
69,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
70,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
71,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
72,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
73,11227,11227,11477,11477,11227,11227,10811,10811,39255,39255,38589,38589,39255,39255,38589,38589
74,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
75,22142,23795,22558,22558,22308,22308,21892,21892,15593,17246,15759,15759,15593,17246,15759,15759
76,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
77,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
78,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
79,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
80,19959,19959,20375,20375,20125,20125,19709,19709,13410,13410,13576,13576,13410,13410,13576,13576
81,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
82,24491,24491,24741,24741,24491,24491,24075,25728,43787,43787,43121,44774,43787,43787,43121,44774
83,24491,24491,24741,24741,24491,24491,24075,24075,43787,43787,43121,43121,43787,43787,43121,43121
84,17776,17776,18192,18192,17942,17942,17526,17526,11227,11227,11393,11393,11227,11227,11393,11393
85,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
86,9044,9044,9294,9294,9044,9044,8628,8628,37072,37072,36406,36406,37072,37072,36406,36406
87,13410,13410,13826,13826,13410,13410,13160,13160,9044,9044,9044,9044,9044,9044,9044,9044
88,22142,22142,22558,22558,22308,22308,21892,21892,15593,15593,15759,15759,15593,15593,15759,15759
89,15593,15593,16009,16009,15759,15759,15343,15343,41604,41604,40938,40938,41604,41604,40938,40938
90,2459,3862,0,0,2875,2875,0,0,2459,3862,2875,2875,2459,3862,2875,2875
91,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
92,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
93,6833,6833,0,0,6417,7404,0,0,6833,6833,6417,7404,6833,6833,6417,7404
94,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
95,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
96,776,776,0,0,776,2179,0,0,776,776,776,2179,776,776,776,2179
97,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
98,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
99,2459,2459,0,0,2875,3862,0,0,2459,2459,2875,3862,2459,2459,2875,3862
100,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
101,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
102,0,0,1304,2707,0,0,1304,1304,29082,30485,29082,29082,29082,30485,29082,29082
103,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
104,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
105,4558,5961,0,0,4558,4558,0,0,4558,5961,4558,4558,4558,5961,4558,4558
106,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
107,0,0,1304,1304,0,0,1304,1304,29082,29082,29082,29082,29082,29082,29082,29082
108,0,0,5678,5678,0,0,4846,6249,33456,33456,32624,34027,33456,33456,32624,34027
109,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
110,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
111,0,0,7195,8598,0,0,6945,6945,34973,36376,34723,34723,34973,36376,34723,34723
112,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
113,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
114,4558,4558,0,0,4558,5545,0,0,4558,4558,4558,5545,4558,4558,4558,5545
115,0,0,5678,5678,0,0,4846,4846,33456,33456,32624,32624,33456,33456,32624,32624
116,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
117,0,0,3579,3579,0,0,3163,4150,31357,31357,30941,31928,31357,31357,30941,31928
118,0,0,7195,7195,0,0,6945,6945,34973,34973,34723,34723,34973,34973,34723,34723
119,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
120,0,0,1304,2291,0,0,1304,1304,29082,30069,29082,29082,29082,30069,29082,29082
121,4558,4558,0,0,4558,4558,0,0,4558,4558,4558,4558,4558,4558,4558,4558
122,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
123,0,0,7195,7195,0,0,6945,7932,34973,34973,34723,35710,34973,34973,34723,35710
124,0,0,3579,3579,0,0,3163,3163,31357,31357,30941,30941,31357,31357,30941,30941
125,2459,2459,0,0,2875,2875,0,0,2459,2459,2875,2875,2459,2459,2875,2875
126,776,776,0,0,776,1763,0,0,776,776,776,1763,776,776,776,1763
127,6833,6833,0,0,6417,6417,0,0,6833,6833,6417,6417,6833,6833,6417,6417
128,0,0,1304,1304,0,0,1304,2291,29082,29082,29082,30069,29082,29082,29082,30069
